species_slug,filename,specimen,view,cause,detail,cdn_status,displayed_as,filename_name_differs,family,common_name,image_url,species_page_url
autographa-californica,Autographa californica-B-D.jpg,B,dorsal,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Alfalfa Looper Moth,https://moths.pnwinsects.org/autographa-californica/Autographa%20californica-B-D.jpg,https://moths.pnwinsects.org/species/autographa-californica/
autographa-californica,Autographa californica-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Alfalfa Looper Moth,https://moths.pnwinsects.org/autographa-californica/Autographa%20californica-B-V.jpg,https://moths.pnwinsects.org/species/autographa-californica/
autographa-corusca,Autographa corusca-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Caramel Looper,https://moths.pnwinsects.org/autographa-corusca/Autographa%20corusca-A-V.jpg,https://moths.pnwinsects.org/species/autographa-corusca/
autographa-flagellum,Autographa flagellum-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/autographa-flagellum/Autographa%20flagellum-A-V.jpg,https://moths.pnwinsects.org/species/autographa-flagellum/
autographa-mappa,Autographa mappa-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Wavy Chestnut Y Moth,https://moths.pnwinsects.org/autographa-mappa/Autographa%20mappa-A-V.jpg,https://moths.pnwinsects.org/species/autographa-mappa/
autographa-metallica,Autographa metallica-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/autographa-metallica/Autographa%20metallica-A-V.jpg,https://moths.pnwinsects.org/species/autographa-metallica/
autographa-pasiphaeia,Autographa pasiphaeia-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/autographa-pasiphaeia/Autographa%20pasiphaeia-A-V.jpg,https://moths.pnwinsects.org/species/autographa-pasiphaeia/
autographa-pseudogamma,Autographa pseudogamma-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/autographa-pseudogamma/Autographa%20pseudogamma-A-V.jpg,https://moths.pnwinsects.org/species/autographa-pseudogamma/
autographa-rubidus,Autographa rubidus-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/autographa-rubidus/Autographa%20rubidus-A-V.jpg,https://moths.pnwinsects.org/species/autographa-rubidus/
autographa-sansoni,Autographa sansoni-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/autographa-sansoni/Autographa%20sansoni-A-V.jpg,https://moths.pnwinsects.org/species/autographa-sansoni/
autographa-speciosa,Autographa speciosa-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/autographa-speciosa/Autographa%20speciosa-A-V.jpg,https://moths.pnwinsects.org/species/autographa-speciosa/
behrensia-conchiformis,Behrensia conchiformis-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/behrensia-conchiformis/Behrensia%20conchiformis-A-V.jpg,https://moths.pnwinsects.org/species/behrensia-conchiformis/
bellura-obliqua,Bellura obliqua-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Cattail Borer Moth,https://moths.pnwinsects.org/bellura-obliqua/Bellura%20obliqua-A-V.jpg,https://moths.pnwinsects.org/species/bellura-obliqua/
bellura-obliqua,Bellura obliqua-B-V.jpg,B,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,Cattail Borer Moth,https://moths.pnwinsects.org/bellura-obliqua/Bellura%20obliqua-B-V.jpg,https://moths.pnwinsects.org/species/bellura-obliqua/
benjaminiola-colorada,Benjaminiola colorada-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/benjaminiola-colorada/Benjaminiola%20colorada-A-V.jpg,https://moths.pnwinsects.org/species/benjaminiola-colorada/
bleptina-caradrinalis,Bleptina caradrinalis-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Erebidae,Bent-winged Owlet Moth,https://moths.pnwinsects.org/bleptina-caradrinalis/Bleptina%20caradrinalis-A-V.jpg,https://moths.pnwinsects.org/species/bleptina-caradrinalis/
brachylomia-algens,Brachylomia algens-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/brachylomia-algens/Brachylomia%20algens-A-V.jpg,https://moths.pnwinsects.org/species/brachylomia-algens/
brachylomia-discinigra,Brachylomia discinigra-A-V.jpg,A,ventral,superseded-by-tiles,the same specimen and view is published as a high-resolution tile,not-reported-missing,,,Noctuidae,,https://moths.pnwinsects.org/brachylomia-discinigra/Brachylomia%20discinigra-A-V.jpg,https://moths.pnwinsects.org/species/brachylomia-discinigra/
