id,genus,species,common_name,noc_id,authority,family,similar_species,subfamily
1653,Hypena,atomaria,,93-0573,"(Smith, 1903)",Erebidae,tetanolita-palligera|chytolita-petrealis,Hypeninae
1655,Orthosia,revicta,Subdued Quaker Moth,93-2773,"(Morrison, 1876)",Noctuidae,orthosia-hibisci|orthosia-segregata,Noctuinae
1656,Euxoa,perolivalis,,93-3480,"(Smith, 1905)",Noctuidae,euxoa-manitobana|euxoa-dargo|euxoa-ridingsiana|euxoa-cicatricosa|euxoa-flavicollis,Noctuinae
1657,Anathix,aggressa,,93-2621,"(Smith, 1907)",Noctuidae,anathix-puta|sunira-decipiens,Noctuinae
1658,Hypena,decorata,,93-0586,"Smith, 1884",Erebidae,hypena-californica|hypena-humuli,Hypeninae
1659,Syngrapha,celsa,Western Conifer Looper,93-1229,"(H. Edwards, 1881)",Noctuidae,syngrapha-interrogationis|syngrapha-viridisigma|syngrapha-angulidens|autographa-californica,Plusiinae
1660,Lasionycta,carolynae,,93-2997,"Crabo, 2009",Noctuidae,lasionycta-quadrilunata|lasionycta-lagganata,Noctuinae
1661,Protorthodes,alfkenii,,93-3115.5,"(Grote, 1895)",Noctuidae,sympistis-goedeni|orthodes-delecta|nudorthodes-texana,Noctuinae
1662,Lasionycta,taigata,,93-2969,"Lafontaine, 1988",Noctuidae,polia-propodea|lasionycta-mutilata|lasionycta-secedens,Noctuinae
1663,Scotogramma,yakima,,93-2856,"(Smith, 1900)",Noctuidae,anarta-ptilodonta|scotogramma-orida,Noctuinae
1664,Homoglaea,dives,,93-2528,"Smith, 1907",Noctuidae,homoglaea-carbonaria,Noctuinae
1665,Autographa,speciosa,,93-1198,"Ottolengui, 1902",Noctuidae,autographa-v,Plusiinae
1666,Schinia,jaguarina,Jaguar Flower Moth,93-2073,"(GuenÃ©e, 1852)",Noctuidae,schinia-mortua,Heliothinae
1667,Sunira,decipiens,,93-2617,"(Grote, 1881)",Noctuidae,sunira-bicolorago|anathix-aggressa,Noctuinae
1668,Autographa,californica,Alfalfa Looper Moth,93-1193,"(Speyer, 1875)",Noctuidae,syngrapha-celsa|autographa-buraetica|rachiplusia-ou|autographa-pseudogamma,Plusiinae
1669,Lithophane,fagina,Hoary Pinion Moth,93-2548,"Morrison, 1874",Noctuidae,lithophane-itata|lithophane-boogeri,Noctuinae
1670,Brachylomia,discolor,,93-2655,"(Smith, 1904)",Noctuidae,brachylomia-sierra|brachylomia-obscurifascia,Noctuinae
1671,Schinia,albafascia,,93-2159,"Smith, 1883",Noctuidae,schinia-tertia,Heliothinae
1672,Striacosta,albicosta,Western Bean Cutworm Moth,93-3228,"(Smith, [1888])",Noctuidae,feltia-subgothica,Noctuinae
1673,Furcula,modesta,Modest Furcula Moth,93-0029,"(Hudson, 1891)",Notodontidae,furcula-occidentalis,Notodontinae
1674,Euxoa,biformata,,93-3313,"Smith, 1910",Noctuidae,euxoa-intermontana|euxoa-shasta|euxoa-mimallonis,Noctuinae
1675,Tarache,augustipennis,Narrow-winged Midget Moth,93-1365,"Grote, 1875",Noctuidae,tarache-major,Acontiinae
1676,Sympistis,hathor,,93-1893,"Troubridge, 2008",Noctuidae,sympistis-sobek|sympistis-pallida,Oncocnemidinae
1677,Lasionycta,sasquatch,,93-2986,"Crabo & Lafontaine, 2009",Noctuidae,lasionycta-perplexella|lasionycta-poca,Noctuinae
1678,Agrotis,gravis,,93-3518,"Grote, 1874",Noctuidae,agrotis-vancouverensis,Noctuinae
1679,Melanchra,pulverulenta,,93-2876,"(Smith, [1888])",Noctuidae,orthodes-obscura|melanchra-assimilis|melanapamea-mixta,Noctuinae
1680,Protolampra,rufipectus,,93-3648,"(Morrison, 1875)",Noctuidae,adelphagrotis-carissima|xestia-intermedia|setagrotis-pallidicollis,Noctuinae
1681,Apamea,acera,,93-2338,"(Smith, 1900)",Noctuidae,apamea-alia,Noctuinae
1682,Nudorthodes,texana,,93-3116,"(Smith, 1900)",Noctuidae,protorthodes-alfkenii,Noctuinae
1683,Nycteola,columbiana,,93-1143,"(H. Edwards, 1873)",Nolidae,nycteola-frigidana|nycteola-frigidana,Nolinae
1684,Syngrapha,alticola,,93-1232,"(Walker, [1858])",Noctuidae,syngrapha-microgamma|syngrapha-ignea,Plusiinae
1685,Sphinx,chersis,Great Ash Sphinx Moth,MONA 7802,"(HÃ¼bner, 1823)",Sphingidae,sphinx-perelegans,Sphinginae
1686,Sympistis,goedeni,,93-1834,"(Troubridge & Crabo, (1999))",Noctuidae,protorthodes-alfkenii,Oncocnemidinae
1687,Tarache,areli,,93-1356,"(Strecker, 1898)",Noctuidae,tarache-toddi|schinia-tertia,Acontiinae
1688,Dasychira,grisefacta,Grizzled Tussock Moth,93-0158,"(Dyar, 1911)",Erebidae,dasychira-vagans|dasychira-plagiata,Lymantriinae
1689,Nephelodes,minians,Bronzed Cutworm Moth,93-2810,"GuenÃ©e, 1852",Noctuidae,nephelodes-demaculata|resapamea-passer,Noctuinae
1690,Noctua,pronuba,Large Yellow Underwing Moth,93-3551,"(Linnaeus, 1758)",Noctuidae,noctua-comes|cryptocala-acadiensis,Noctuinae
1691,Orgyia,cana,,93-0163,"H. Edwards, 1881",Erebidae,orgyia-pseudotsugata,Lymantriinae
1692,Euxoa,auripennis,,93-3441,"Lafontaine, 1974",Noctuidae,euxoa-servitus,Noctuinae
1693,Actebia,balanitis,,93-3230,"(Grote, 1873)",Noctuidae,rhyacia-clemens,Noctuinae
1694,Abagrotis,duanca,,93-3665,"(Smith, 1908)",Noctuidae,parabagrotis-insularis|abagrotis-dodi,Noctuinae
1695,Protoschinia,nuchalis,,93-2061,"(Grote, 1878)",Noctuidae,schinia-crotchii|schinia-deserticola,Heliothinae
1696,Euxoa,taura,,93-3482,"Smith, 1905",Noctuidae,euxoa-latro,Noctuinae
