row_index,species_slug,latitude,longitude,state,county,outcome,district_id,distance_km,notes
214,feltia-jaculifera,46.731,-117.179,WA,Whitman,assigned-contained,US:53075,,
215,peridroma-saucia,48.501,-123.393,BC,Capital,assigned-contained,CA:5917,,
216,feltia-herilis,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
217,dichagyris-variabilis,48.501,-123.393,BC,Capital,assigned-contained,CA:5917,,
218,feltia-herilis,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
219,peridroma-saucia,48.431,-123.378,BC,Capital,assigned-contained,CA:5917,,
220,feltia-herilis,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
221,dichagyris-variabilis,48.431,-123.378,BC,Capital,assigned-contained,CA:5917,,
222,feltia-herilis,49.5,-117.283,BC,Central Kootenay,assigned-contained,CA:5903,,
223,peridroma-saucia,51.649,-120.033,BC,Thompson-Nicola,assigned-contained,CA:5933,,
224,feltia-herilis,49.333,-117.682,BC,Central Kootenay,assigned-contained,CA:5903,,
225,actebia-fennica,48.783,-123.7,BC,Cowichan Valley,assigned-contained,CA:5919,,
226,feltia-herilis,49.233,-122.883,BC,Greater Vancouver,assigned-contained,CA:5915,,
227,actebia-fennica,51.583,-119.716,BC,Thompson-Nicola,assigned-contained,CA:5933,,
228,dichagyris-variabilis,48.8,-123.667,BC,Cowichan Valley,assigned-contained,CA:5919,,
229,feltia-herilis,50.125,-115.533,BC,East Kootenay,assigned-contained,CA:5901,,
230,feltia-herilis,48.783,-123.7,BC,Cowichan Valley,assigned-contained,CA:5919,,
231,feltia-herilis,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
232,peridroma-saucia,48.467,-123.55,BC,Capital,assigned-contained,CA:5917,,
233,feltia-herilis,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
234,peridroma-saucia,49.283,-124.366,BC,Nanaimo,assigned-contained,CA:5921,,
235,feltia-herilis,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
236,protogygia-lagena,46.378,-120.308,WA,Yakima,assigned-contained,US:53077,,
237,peridroma-saucia,49.331,-123.163,BC,Greater Vancouver,assigned-contained,CA:5915,,
238,feltia-herilis,49.217,-122.6,BC,Greater Vancouver,assigned-contained,CA:5915,,
239,peridroma-saucia,49.25,-123.116,BC,Greater Vancouver,assigned-contained,CA:5915,,
240,feltia-jaculifera,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
241,copablepharon-viridisparsa,45.32,-121.705,OR,Clackamas,assigned-contained,US:41005,,
242,copablepharon-atrinotum,43,-120,OR,Lake,assigned-contained,US:41037,,
243,peridroma-saucia,48.472,-123.346,BC,Capital,assigned-contained,CA:5917,,
244,feltia-herilis,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
245,actebia-fennica,48.472,-123.346,BC,Capital,assigned-contained,CA:5917,,
246,feltia-herilis,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
247,dichagyris-variabilis,48.472,-123.346,BC,Capital,assigned-contained,CA:5917,,
248,feltia-herilis,49.917,-116.916,BC,Central Kootenay,assigned-contained,CA:5903,,
249,dichagyris-variabilis,48.486,-123.61,BC,Capital,assigned-contained,CA:5917,,
250,feltia-jaculifera,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
251,copablepharon-viridisparsa,44.732,-116.081,ID,Valley,assigned-contained,US:16085,,
252,feltia-jaculifera,46.324,-117.971,WA,Columbia,assigned-contained,US:53013,,
253,copablepharon-viridisparsa,42.738,-118.643,OR,Harney,assigned-contained,US:41025,,
254,copablepharon-atrinotum,43,-120.017,OR,Lake,assigned-contained,US:41037,,
