species_slug,latitude,longitude,year,outcome,county_before,county_after,district_id_after,notes
feltia-herilis,49.233,-122.883,,filled,Greater Vancouver,Greater Vancouver,CA:5915,
actebia-fennica,51.583,-119.716,,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
dichagyris-variabilis,48.8,-123.667,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
feltia-herilis,50.125,-115.533,1990,filled,East Kootenay,East Kootenay,CA:5901,
feltia-herilis,48.783,-123.7,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
feltia-herilis,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,48.467,-123.55,,filled,Capital,Capital,CA:5917,
feltia-herilis,49.533,-117.417,1987,filled,Central Kootenay,Central Kootenay,CA:5903,
peridroma-saucia,49.283,-124.366,,filled,Nanaimo,Nanaimo,CA:5921,
feltia-herilis,49.533,-117.417,1987,filled,Central Kootenay,Central Kootenay,CA:5903,
protogygia-lagena,46.378,-120.308,1963,filled,Yakima,Yakima,US:53077,
peridroma-saucia,49.331,-123.163,,filled,Greater Vancouver,Greater Vancouver,CA:5915,
feltia-herilis,49.217,-122.6,,filled,Greater Vancouver,Greater Vancouver,CA:5915,
peridroma-saucia,49.25,-123.116,,filled,Greater Vancouver,Greater Vancouver,CA:5915,
feltia-jaculifera,46.324,-117.971,1955,filled,Columbia,Columbia,US:53013,
copablepharon-viridisparsa,45.32,-121.705,1988,filled,Clackamas,Clackamas,US:41005,
copablepharon-atrinotum,43,-120,1998,filled,Lake,Lake,US:41037,
peridroma-saucia,48.472,-123.346,,filled,Capital,Capital,CA:5917,
feltia-herilis,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
actebia-fennica,48.472,-123.346,,filled,Capital,Capital,CA:5917,
feltia-herilis,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,48.472,-123.346,,filled,Capital,Capital,CA:5917,
feltia-herilis,49.917,-116.916,1903,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,48.486,-123.61,,filled,Capital,Capital,CA:5917,
feltia-jaculifera,46.324,-117.971,1956,filled,Columbia,Columbia,US:53013,
copablepharon-viridisparsa,44.732,-116.081,1968,filled,Valley,Valley,US:16085,
feltia-jaculifera,46.324,-117.971,1956,filled,Columbia,Columbia,US:53013,
copablepharon-viridisparsa,42.738,-118.643,1988,filled,Harney,Harney,US:41025,
copablepharon-atrinotum,43,-120.017,2001,filled,Lake,Lake,US:41037,
feltia-jaculifera,42.599,-114.759,1961,filled,Twin Falls,Twin Falls,US:16083,
copablepharon-viridisparsa,47.564,-120.783,1990,filled,Chelan,Chelan,US:53007,
feltia-herilis,49.117,-116.163,1992,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,42.599,-114.759,1960,filled,Twin Falls,Twin Falls,US:16083,
feltia-jaculifera,51.583,-119.716,,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
dichagyris-variabilis,48.484,-123.36,,filled,Capital,Capital,CA:5917,
protogygia-album,47.499,-119.917,2000,filled,Douglas,Douglas,US:53017,
copablepharon-spiritum,49.033,-119.45,1988,filled,Okanagan-Similkameen,Okanagan-Similkameen,CA:5907,
copablepharon-spiritum,46.89,-119.95,1991,filled,Grant,Grant,US:53025,
copablepharon-mutans,46.89,-119.95,1991,filled,Grant,Grant,US:53025,
dichagyris-variabilis,46.731,-117.179,2004,filled,Whitman,Whitman,US:53075,
dichagyris-variabilis,46.731,-117.179,2002,filled,Whitman,Whitman,US:53075,
dichagyris-variabilis,46.731,-117.179,2001,filled,Whitman,Whitman,US:53075,
dichagyris-variabilis,46.731,-117.179,2002,filled,Whitman,Whitman,US:53075,
dichagyris-variabilis,45.899,-120.713,2014,filled,Klickitat,Klickitat,US:53039,
feltia-jaculifera,49.2,-124.033,,filled,Nanaimo,Nanaimo,CA:5921,
dichagyris-variabilis,48.612,-118.207,2014,filled,Ferry,Ferry,US:53019,
feltia-jaculifera,49.2,-124.033,1950,filled,Nanaimo,Nanaimo,CA:5921,
dichagyris-variabilis,48.61,-118.212,2014,filled,Ferry,Ferry,US:53019,
apantesis-behrii,42.258,-123.097,1996,filled,Josephine,Josephine,US:41033,
dichagyris-variabilis,47.499,-119.917,2000,filled,Douglas,Douglas,US:53017,
feltia-jaculifera,49.775,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
feltia-jaculifera,49.775,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
dichagyris-variabilis,49.533,-117.417,2009,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.783,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
feltia-jaculifera,53.3,-120.166,1986,filled,Fraser-Fort George,Fraser-Fort George,CA:5953,
dichagyris-variabilis,49.533,-117.417,2006,filled,Central Kootenay,Central Kootenay,CA:5903,
