path,unit,bytes,species_slug,shape,detail
furcula-occidentalis/Furcula occidentalis-A-V.jpg,object,119527,furcula-occidentalis,photo-no-row,no row in data/images.csv; furcula-occidentalis is not in data/species.csv
furcula-occidentalis/Furcula occidentalis-B-D.jpg,object,126980,furcula-occidentalis,photo-no-row,no row in data/images.csv; furcula-occidentalis is not in data/species.csv
furcula-occidentalis/Furcula occidentalis-B-V.jpg,object,119637,furcula-occidentalis,photo-no-row,no row in data/images.csv; furcula-occidentalis is not in data/species.csv
grammia-behrii/Grammia behrii-B-D.jpg,object,152981,grammia-behrii,photo-no-row,no row in data/images.csv; grammia-behrii is not in data/species.csv
grammia-behrii/Grammia behrii-B-V.jpg,object,149960,grammia-behrii,photo-no-row,no row in data/images.csv; grammia-behrii is not in data/species.csv
grammia-blakei/Grammia blakei-A-D.jpg,object,139931,grammia-blakei,photo-no-row,no row in data/images.csv; grammia-blakei is not in data/species.csv
grammia-blakei/Grammia blakei-A-V.jpg,object,132470,grammia-blakei,photo-no-row,no row in data/images.csv; grammia-blakei is not in data/species.csv
grammia-complicata/Grammia complicata-A-D.jpg,object,150797,grammia-complicata,photo-no-row,no row in data/images.csv; grammia-complicata is not in data/species.csv
grammia-complicata/Grammia complicata-A-V.jpg,object,146920,grammia-complicata,photo-no-row,no row in data/images.csv; grammia-complicata is not in data/species.csv
grammia-doris/Grammia doris-A-D.jpg,object,144623,grammia-doris,photo-no-row,no row in data/images.csv; grammia-doris is not in data/species.csv
grammia-doris/Grammia doris-A-V.jpg,object,139167,grammia-doris,photo-no-row,no row in data/images.csv; grammia-doris is not in data/species.csv
grammia-edwardsii/Grammia edwardsii-A-D.jpg,object,146052,grammia-edwardsii,photo-no-row,no row in data/images.csv; grammia-edwardsii is not in data/species.csv
grammia-edwardsii/Grammia edwardsii-A-V.jpg,object,140361,grammia-edwardsii,photo-no-row,no row in data/images.csv; grammia-edwardsii is not in data/species.csv
grammia-edwardsii/Grammia edwardsii-B-D.jpg,object,142819,grammia-edwardsii,photo-no-row,no row in data/images.csv; grammia-edwardsii is not in data/species.csv
grammia-edwardsii/Grammia edwardsii-B-V.jpg,object,119699,grammia-edwardsii,photo-no-row,no row in data/images.csv; grammia-edwardsii is not in data/species.csv
grammia-eureka/Grammia eureka-A-D.jpg,object,131074,grammia-eureka,photo-no-row,no row in data/images.csv; grammia-eureka is not in data/species.csv
grammia-eureka/Grammia eureka-A-V.jpg,object,120702,grammia-eureka,photo-no-row,no row in data/images.csv; grammia-eureka is not in data/species.csv
grammia-margo/Grammia margo-C-D.jpg,object,145679,grammia-margo,photo-no-row,no row in data/images.csv; grammia-margo is not in data/species.csv
grammia-margo/Grammia margo-C-V.jpg,object,128502,grammia-margo,photo-no-row,no row in data/images.csv; grammia-margo is not in data/species.csv
grammia-nevadensis/Grammia nevadensis-A-D.jpg,object,136725,grammia-nevadensis,photo-no-row,no row in data/images.csv; grammia-nevadensis is not in data/species.csv
grammia-nevadensis/Grammia nevadensis-A-V.jpg,object,134610,grammia-nevadensis,photo-no-row,no row in data/images.csv; grammia-nevadensis is not in data/species.csv
grammia-nevadensis/Grammia nevadensis-B-D.jpg,object,140529,grammia-nevadensis,photo-no-row,no row in data/images.csv; grammia-nevadensis is not in data/species.csv
grammia-nevadensis/Grammia nevadensis-B-V.jpg,object,132113,grammia-nevadensis,photo-no-row,no row in data/images.csv; grammia-nevadensis is not in data/species.csv
grammia-nevadensis/Grammia nevadensis-C-D.jpg,object,141976,grammia-nevadensis,photo-no-row,no row in data/images.csv; grammia-nevadensis is not in data/species.csv
