species_id,species_slug,record_type,latitude,longitude,state,county,locality,elevation_ft,year,month,day,collector,collection,notes
2176,apamea-alia,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
2512,apamea-inordinata,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
1496,apamea-spaldingi,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
1420,apamea-cinefacta,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
1403,apamea-scoparia,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
2218,apamea-cogitata,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
1720,apamea-devastator,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
1540,apamea-niveivenosa,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
1652,resapamea-passer,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
1813,mesapamea-fractilinea,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,MSU,"Cook, 1931, det. McDunnough, Shepard notes, "
2424,schinia-edwardsii,specimen,46.757,-109.159,MT,Fergus,Little Snowy Mts.,6013,1987,5,22,,CNC,"Hardwick, 1996; Shepard notes;  "
2098,hemileuca-eglanterina,specimen,45.364,-109.807,MT,Stillwater,"Benbow Mine; Nye, 5.4 mi S, S30,31 T5SR16E",8300,1979,7,5,B. Vogel,UWBM,
1485,agrochola-purpurea,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes; 
1657,anathix-aggressa,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes; 
2013,eupsilia-tristigmata,specimen,48.554,-109.679,MT,Hill,Havre,2535,,9,,,?,Cook list; Shepard notes; 
2022,fishia-discors,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes; 
2178,fishia-yosemitae,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes; 
1757,homoglaea-carbonaria,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes; 
2069,lithophane-disposita,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes; 
1669,lithophane-fagina,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes; 
1625,lithophane-georgii,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,,?,Cook list; Shepard notes; 
2535,xylena-nupera,specimen,48.554,-109.679,MT,Hill,Havre,2535,,,,W. C. Cook,?,Cook list; Shepard notes; 
2101,apantesis-williamsii,specimen,45.017,-109.934,MT,Park,Cooke City,7570,1959,7,27,"F., P. & B. Rindge",AMNH,Crabo notes; 
3350,papaipema-unimoda,specimen,46.693,-144.044,MT,Missoula,"MPG Ranch, Bitterroot R",3166,2022,9,5,M. Seidensticker,CSU,
2486,tholera-americana,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
1689,nephelodes-minians,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2253,anarta-trifolii,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2087,anarta-mutata,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
1901,anarta-oregonica,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2558,anarta-farnhami,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2041,anarta-crotchii,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2571,polia-purpurissata,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
1719,polia-nugatis,specimen,45.485,-108.97,MT,Carbon,Joliet,,1964,9,3,D. F. Hardwick,CNC,"McCabe, 1980; Shepard notes; "
1719,polia-nugatis,specimen,45.082,-109.375,MT,Carbon,Richel Lodge,,,8,8,J. Sperry,AMNH,"McCabe, 1980; Shepard notes; "
1719,polia-nugatis,specimen,45.082,-109.375,MT,Carbon,Richel Lodge,,,8,30,J. Sperry,AMNH,"McCabe, 1980; Shepard notes; "
1719,polia-nugatis,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2387,melanchra-picta,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
1857,lacanobia-subjuncta,specimen,48.554,-109.679,MT,Hill,Havre,,1922,,,,?,Cooke list; Shepard notes; 
1940,trichordestra-dodii,specimen,45.762,-109.79,MT,Sweet Grass,"Greycliff, 3.4mSE",,,,,G. Godfrey,Cornell,"McCabe, 1980; reared; Shepard notes; ;
October 30, 1967"
1970,trichordestra-lilacina,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
1372,papestra-quadrata,specimen,45.017,-109.934,MT,Park,Cooke City,,1959,7,27,F. Rindge,AMNH,"McCabe, 1980; Shepard notes; "
2344,mamestra-configurata,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
3361,sideridis-artesta,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2335,sideridis-rosea,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2361,dargida-procinctus,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2267,dargida-diffusa,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2385,mythimna-unipuncta,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
1866,leucania-commoides,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2324,leucania-insueta,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2096,lacinipolia-pensilis,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2509,lacinipolia-renigera,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2395,lacinipolia-lorea,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2061,lacinipolia-olivacea,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; ssp. petita
1787,anhimella-contrahens,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2303,protorthodes-incincta,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; [utahensis]
2453,ulolonche-dilecta,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; as melanopis; 
2723,ulolonche-orbiculata,specimen,48.554,-109.679,MT,Hill,Havre,,,,,,?,Cooke list; Shepard notes; 
2098,hemileuca-eglanterina,specimen,41.013,-121.601,OR,Klamath,"Merill, 4mS",4000,1983,9,6,"S. G. Jewett, Jr.",OSAC,shastaensis
2098,hemileuca-eglanterina,specimen,41.013,-121.601,OR,Klamath,"Merill, 4mS",4000,1983,9,2,"S. G. Jewett, Jr.",OSAC,shastaensis
2662,hemileuca-nuteglan,specimen,41.013,-121.601,OR,Klamath,"Merill, 4mS",4000,1983,9,6,Melvin Parker,OSAC,uniformis/nuttalli
2274,hemileuca-hera,specimen,41.013,-121.601,OR,Klamath,"Merill, 4mS",4000,1983,9,2,,OSAC,marcata
2422,alypia-langtoni,specimen,41.947,-120.419,OR,Lake,Goose L.,4705,1973,5,1,"S. Jewett, Jr.",OSAC,
1760,apantesis-ornata,specimen,41.967,-117.743,OR,Malheur,McDermitt Cr.,4415,2002,6,23,D. N. Ross,DNR,
2695,lacinipolia-stenotis,specimen,-118.899,42.889,OR,Harney,"Frenchglen, 5mN",,1961,9,13,D. F. Hardwick,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-118.866,42.976,OR,Harney,"Frenchglen, 9mN",,1961,9,13,W. C. Cook,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-121.274,44.564,OR,Jefferson,Cove Palisades SP,,1962,9,2,W. C. Cook,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-121.17,44.5,OR,Jefferson,"Madras, 10mSW",,1970,9,11,D. F. Hardwick,CNC,Crabo notes
2695,lacinipolia-stenotis,specimen,-118.204,43.049,OR,Malheur,"Follyfarm, 5mSE",,1961,9,15,D. F. Hardwick,CNC,Crabo notes
