species_slug,filename,photographer,weight,license,view,specimen,navigational,locality,state,latitude,longitude,elevation_ft,year,month,day,collector,subspecies
abagrotis-scopeops,Abagrotis scopeops-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Anatone Butte vic.,WA,46.103,-117.271,4656,2003,7,2,L. & E. Crabo,
abagrotis-striata,Abagrotis striata-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,"Formation Cyn, FR778",ID,42.015,-113.105,5764,2011,7,22,LG Crabo,
abagrotis-striata,Abagrotis striata-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,"Formation Cyn, FR778",ID,42.015,-113.105,5764,2011,7,22,LG Crabo,
abagrotis-striata,Abagrotis_striata-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,,,,,,,,,,
abagrotis-striata,Abagrotis_striata-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,,,,,,,,,,
abagrotis-trigona,Abagrotis trigona-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,"Chumstick Mtn., 2mS",WA,47.62,-120.45,4033,2003,7,3,L. & E. Crabo,
abagrotis-trigona,Abagrotis trigona-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,"Chumstick Mtn., 2mS",WA,47.62,-120.45,4033,2003,7,3,L. & E. Crabo,
abagrotis-trigona,Abagrotis trigona-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Anatone Butte vic.,WA,46.103,-117.271,4656,2005,7,11,Crabo/Coughlin,
abagrotis-trigona,Abagrotis trigona-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,Anatone Butte vic.,WA,46.103,-117.271,4656,2005,7,11,Crabo/Coughlin,
abagrotis-trigona,Abagrotis trigona-C-D.jpg,Merrill A. Peterson,5,CC BY-NC-SA 4.0,dorsal,C,,Frissel Pt.,OR,44.21,-122.1,4803,2003,8,24,L. G. Crabo,
abagrotis-trigona,Abagrotis trigona-C-V.jpg,Merrill A. Peterson,6,CC BY-NC-SA 4.0,ventral,C,,Frissel Pt.,OR,44.21,-122.1,4803,2003,8,24,L. G. Crabo,
abagrotis-turbulenta,Abagrotis turbulenta-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,"Ephraim, 8 mi E",UT,39.327,-111.459,10000,2006,7,21,LG Crabo,
abagrotis-turbulenta,Abagrotis turbulenta-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,"Ephraim, 8 mi E",UT,39.327,-111.459,10000,2006,7,21,LG Crabo,
abagrotis-variata,Abagrotis variata-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Dutchy Cr. @ FR2515,OR,42.445,-123.694,2128,2007,6,12,L. G. Crabo,
abagrotis-variata,Abagrotis variata-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Dutchy Cr. @ FR2515,OR,42.445,-123.694,2128,2007,6,12,L. G. Crabo,
abagrotis-variata,Abagrotis variata-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Bethel Ridge,WA,46.79,-121.09,3554,2003,7,27,L. & E. Crabo,
abagrotis-variata,Abagrotis variata-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,Bethel Ridge,WA,46.79,-121.09,3554,2003,7,27,L. & E. Crabo,
abagrotis-vittifrons,Abagrotis vittifrons-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,FR43 nr. Indian Tom Corrall,WA,46.116,-117.338,4967,2000,8,31,L. G. Crabo,
abrostola-urentis,Abrostola urentis-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Chuckanut Bay,WA,48.69,-122.49,328,1993,7,16,L. G. Crabo,
abrostola-urentis,Abrostola urentis-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Chuckanut Bay,WA,48.69,-122.49,328,1993,7,16,L. G. Crabo,
acerra-normalis,Acerra normalis-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Reecer Cr. @ Johnson Cyn.,WA,47.16,-120.61,2834,1988,3,16,L. G. Crabo,
acerra-normalis,Acerra normalis-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Reecer Cr. @ Johnson Cyn.,WA,47.16,-120.61,2834,1988,3,16,L. G. Crabo,
acontia-coquillettii,Acontia coquillettii-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Nyssa,OR,43.877,-116.995,,1964,8,13,K Goeden,
acontia-coquillettii,Acontia coquillettii-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Nyssa,OR,43.877,-116.995,,1964,8,13,K Goeden,
acontia-coquillettii,Acontia coquillettii-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Modesto,CA,37.66,-120.99,93,1942,8,31,WC Cook,
acontia-coquillettii,Acontia coquillettii-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,Modesto,CA,37.66,-120.99,93,1942,8,31,WC Cook,
acontia-cretata,Acontia cretata-B-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,B,,"Formation Cyn, FR778",ID,42.015,-113.105,5764,2011,8,25,LG Crabo,
acontia-cretata,Acontia cretata-B-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,B,,"Formation Cyn, FR778",ID,42.015,-113.105,5764,2011,8,25,LG Crabo,
acontia-cretata,Acontia_cretata-A-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,A,,,,,,,,,,,
acontia-cretata,Acontia_cretata-A-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,A,,,,,,,,,,,
acopa-perpallida,Acopa perpallida-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Hugo 6mi NW,CO,39.188,-103.558,5200,1968,9,9,DF Hardwick,
acopa-perpallida,Acopa perpallida-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Hugo 6mi NW,CO,39.188,-103.558,5200,1968,9,9,DF Hardwick,
acopa-perpallida,Acopa-perpallida-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,,,,,,,,,,
acopa-perpallida,Acopa-perpallida-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,,,,,,,,,,
acronicta-americana,Acronicta americana-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,1.8mi N of Enfield NW of cold stream Pond.,ME,45.28,-68.56,370,1985,6,21,L. Crabo,
acronicta-americana,Acronicta americana-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,1.8mi N of Enfield NW of cold stream Pond.,ME,45.28,-68.56,370,1985,6,21,L. Crabo,
acronicta-americana,Acronicta americana-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,"Section 18, Springfield",WI,43.17,-89.591,1012,1984,7,30,L. Crabo,
acronicta-americana,Acronicta americana-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,"Section 18, Springfield",WI,43.17,-89.591,1012,1984,7,30,L. Crabo,
acronicta-americana,Acronicta americana-C-D.jpg,Merrill A. Peterson,5,CC BY-NC-SA 4.0,dorsal,C,,Buhl,ID,42.599,-114.759,3500,1955,7,23,R. E. Miller,
acronicta-americana,Acronicta americana-C-V.jpg,Merrill A. Peterson,6,CC BY-NC-SA 4.0,ventral,C,,Buhl,ID,42.599,-114.759,3500,1955,7,23,R. E. Miller,
acronicta-cyanescens,Acronicta cyanescens-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Chumstick Mt.,WA,47.63,-120.44,4586,2004,6,21,L. & E. Crabo,
acronicta-cyanescens,Acronicta cyanescens-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Chumstick Mt.,WA,47.63,-120.44,4586,2004,6,21,L. & E. Crabo,
acronicta-cyanescens,Acronicta cyanescens-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Harts Pass Rd 2.1mi SE of Lost R to Deadhorse Point,WA,48.63,-120.51,2480,1999,4,4,LG Crabo,
acronicta-cyanescens,Acronicta cyanescens-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,Harts Pass Rd 2.1mi SE of Lost R to Deadhorse Point,WA,48.63,-120.51,2480,1999,4,4,LG Crabo,
acronicta-fragilis,Acronicta fragilis-A-V.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,ventral,A,,Chewelah Mt.,WA,48.26,-117.56,4594,2004,6,22,L. & E. Crabo,
acronicta-fragilis,Acronicta fragilis-B-D.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,dorsal,B,,Chewelah Mt.,WA,48.26,-117.56,4594,2004,6,22,L. & E. Crabo,
acronicta-fragilis,Acronicta fragilis-B-V.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,ventral,B,,Chewelah Mt.,WA,48.26,-117.56,4594,2004,6,22,L. & E. Crabo,
acronicta-funeralis,Acronicta funeralis-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Chewelah Mt.,WA,48.26,-117.56,4594,2004,6,22,L. & E. Crabo,
acronicta-funeralis,Acronicta funeralis-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Chewelah Mt.,WA,48.26,-117.56,4594,2004,6,22,L. & E. Crabo,
acronicta-funeralis,Acronicta funeralis-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,0.3mi NE of Little Illinois R Falls of Eight Dollar Mtn Rd.,OR,42.24,-123.67,1400,,,,L Crabo & J Troubridge.,
acronicta-funeralis,Acronicta funeralis-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,0.3mi NE of Little Illinois R Falls of Eight Dollar Mtn Rd.,OR,42.24,-123.67,1400,,,,L Crabo & J Troubridge.,
acronicta-grisea,Acronicta grisea-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Chewelah Mt.,WA,48.26,-117.56,4594,2004,6,22,L. & E. Crabo,
acronicta-grisea,Acronicta grisea-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Chewelah Mt.,WA,48.26,-117.56,4594,2004,6,22,L. & E. Crabo,
acronicta-grisea,Acronicta grisea-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,"Merrill, SW shore",WA,46.08,-122.32,1599,1994,6,24,L. G. Crabo,
acronicta-grisea,Acronicta grisea-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,"Merrill, SW shore",WA,46.08,-122.32,1599,1994,6,24,L. G. Crabo,
acronicta-hasta,Acronicta hasta-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,"Enfield, NW Cold Stream Pond",ME,45.28,-68.56,370,1987,5,28,Lars Crabo & L.P. Grey,
acronicta-hasta,Acronicta hasta-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,"Enfield, NW Cold Stream Pond",ME,45.28,-68.56,370,1987,5,28,Lars Crabo & L.P. Grey,
acronicta-hasta,Acronicta hasta-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,Sunset Point,WA,46.172,-117.534,5742,2005,7,11,Crabo/Coughlin,
acronicta-hasta,Acronicta hasta-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,Sunset Point,WA,46.172,-117.534,5742,2005,7,11,Crabo/Coughlin,
acronicta-impleta,Acronicta impleta-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,Umtanum Cr.; Durr Rd.,WA,46.88,-120.57,2443,2001,5,24,L. & E. Crabo,
acronicta-impleta,Acronicta impleta-A-V.jpg,Merrill A. Peterson,2,CC BY-NC-SA 4.0,ventral,A,,Umtanum Cr.; Durr Rd.,WA,46.88,-120.57,2443,2001,5,24,L. & E. Crabo,
acronicta-impleta,Acronicta impleta-B-D.jpg,Merrill A. Peterson,3,CC BY-NC-SA 4.0,dorsal,B,,"Selma, 8 mi. W",OR,42.303,-123.766,1067,2005,5,10,L. G. Crabo,
acronicta-impleta,Acronicta impleta-B-V.jpg,Merrill A. Peterson,4,CC BY-NC-SA 4.0,ventral,B,,"Selma, 8 mi. W",OR,42.303,-123.766,1067,2005,5,10,L. G. Crabo,
acronicta-impressa,Acronicta impressa-A-D.jpg,Merrill A. Peterson,1,CC BY-NC-SA 4.0,dorsal,A,,"Little Hoquiam, 2mE; Grapeview Loop Rd.",WA,47.31,-122.9,204,1989,8,26,L. G. Crabo,
